scenario,obs_model,parameter,unit,prior_median,prior_68_lo,prior_68_hi,posterior_median,posterior_68_lo,posterior_68_hi,posterior_95_lo,posterior_95_hi,shrinkage,ess,k_hat,k_diagnostic
baseline,pure_water,Q_v,kJ/mol,59.3776,56.3655,62.4166,60.2565,57.6454,62.9112,55.0569,65.2555,0.1298,10277.9,0.450,good
baseline,pure_water,d_grain,mm,0.5875,0.2661,1.2574,0.7490,0.3741,1.4236,0.1881,2.4108,-0.0587,10277.9,0.450,good
baseline,pure_water,q_basal,mW/m$^2$,15.0114,8.4395,21.8768,15.8314,8.4413,22.4052,6.1099,24.5493,-0.0392,10277.9,0.450,good
baseline,pure_water,epsilon_0,$\times 10^{-5}$,0.6004,0.3799,0.9377,0.5864,0.3733,0.9068,0.2526,1.4068,0.0435,10277.9,0.450,good
baseline,pure_water,T_surf,K,109.8177,104.9441,114.6314,109.6547,104.7991,114.4473,100.1955,118.2382,0.0040,10277.9,0.450,good
baseline,pure_water,D_cond,km,16.95,,,22.37,14.48,30.59,,,0.2313,10277.9,0.450,good
baseline,low_salinity,Q_v,kJ/mol,59.3776,56.3655,62.4166,59.7769,57.0934,62.4293,54.5312,64.8741,0.1182,12052.6,0.450,good
baseline,low_salinity,d_grain,mm,0.5875,0.2661,1.2574,0.6589,0.3253,1.2799,0.1614,2.2779,0.0371,12052.6,0.450,good
baseline,low_salinity,q_basal,mW/m$^2$,15.0114,8.4395,21.8768,15.5222,8.4558,22.4611,6.1198,24.5865,-0.0423,12052.6,0.450,good
baseline,low_salinity,epsilon_0,$\times 10^{-5}$,0.6004,0.3799,0.9377,0.5969,0.3783,0.9298,0.2555,1.4289,0.0114,12052.6,0.450,good
baseline,low_salinity,T_surf,K,109.8177,104.9441,114.6314,109.7651,104.9121,114.5843,100.2557,118.3147,0.0015,12052.6,0.450,good
baseline,low_salinity,D_cond,km,16.95,,,19.54,11.52,27.23,,,0.2507,12052.6,0.450,good
moderate,pure_water,Q_v,kJ/mol,59.3776,56.3655,62.4166,60.2392,57.5970,62.9318,55.0313,65.3396,0.1184,10581.2,0.450,good
moderate,pure_water,d_grain,mm,0.5875,0.2661,1.2574,0.7450,0.3698,1.4242,0.1870,2.4159,-0.0635,10581.2,0.450,good
moderate,pure_water,q_basal,mW/m$^2$,16.7452,8.7600,24.9796,17.8286,8.7854,25.1123,6.2015,28.1164,-0.0066,10581.2,0.450,good
moderate,pure_water,epsilon_0,$\times 10^{-5}$,0.6004,0.3799,0.9377,0.5866,0.3742,0.9062,0.2538,1.4059,0.0464,10581.2,0.450,good
moderate,pure_water,T_surf,K,109.8177,104.9441,114.6314,109.6189,104.7710,114.4152,100.1647,118.2002,0.0044,10581.2,0.450,good
moderate,pure_water,D_cond,km,17.18,,,21.01,15.08,29.53,,,0.2519,10581.2,0.450,good
moderate,low_salinity,Q_v,kJ/mol,59.3776,56.3655,62.4166,59.8059,57.1099,62.5300,54.5488,64.9935,0.1043,12238.3,0.450,good
moderate,low_salinity,d_grain,mm,0.5875,0.2661,1.2574,0.6617,0.3264,1.2936,0.1626,2.2960,0.0243,12238.3,0.450,good
moderate,low_salinity,q_basal,mW/m$^2$,16.7452,8.7600,24.9796,17.9296,8.8651,25.4897,6.2308,28.2169,-0.0250,12238.3,0.450,good
