output,sample_size,index_type,factor,S1,S1_conf,ST,ST_conf,S2,S2_conf,skip_reason
valid_flag,128,main,q_basal_target_mW_m2,nan,nan,nan,nan,,,
valid_flag,128,main,d_grain_mm,nan,nan,nan,nan,,,
valid_flag,128,main,epsilon_0,nan,nan,nan,nan,,,
valid_flag,128,main,T_surf_K,nan,nan,nan,nan,,,
valid_flag,128,main,D_H2O_km,nan,nan,nan,nan,,,
valid_flag,128,main,mu_ice_GPa,nan,nan,nan,nan,,,
valid_flag,128,main,Q_v_kJ_mol,nan,nan,nan,nan,,,
valid_flag,128,main,Q_b_kJ_mol,nan,nan,nan,nan,,,
valid_flag,128,main,H_rad_pW_kg,nan,nan,nan,nan,,,
valid_flag,128,main,f_porosity,nan,nan,nan,nan,,,
physical_flag,128,main,q_basal_target_mW_m2,nan,nan,nan,nan,,,
physical_flag,128,main,d_grain_mm,nan,nan,nan,nan,,,
physical_flag,128,main,epsilon_0,nan,nan,nan,nan,,,
physical_flag,128,main,T_surf_K,nan,nan,nan,nan,,,
physical_flag,128,main,D_H2O_km,nan,nan,nan,nan,,,
physical_flag,128,main,mu_ice_GPa,nan,nan,nan,nan,,,
physical_flag,128,main,Q_v_kJ_mol,nan,nan,nan,nan,,,
physical_flag,128,main,Q_b_kJ_mol,nan,nan,nan,nan,,,
physical_flag,128,main,H_rad_pW_kg,nan,nan,nan,nan,,,
physical_flag,128,main,f_porosity,nan,nan,nan,nan,,,
convective_flag,128,main,q_basal_target_mW_m2,0.3661589072445111,0.21352457151244733,0.6957019237645712,0.17260706435309608,,,
convective_flag,128,main,d_grain_mm,0.18951584066366292,0.1660330994725406,0.43939068869341324,0.15846396954225375,,,
convective_flag,128,main,epsilon_0,0.011132565734582467,0.021967821329173774,0.018307945362225554,0.03612695242142496,,,
convective_flag,128,main,T_surf_K,-0.02548332498986864,0.04605306032970389,0.018307945362225554,0.03308582818822506,,,
convective_flag,128,main,D_H2O_km,0.0,0.0,0.0,0.0,,,
convective_flag,128,main,mu_ice_GPa,0.0,0.031251290109997935,0.03661589072445111,0.04905453596711241,,,
