output,sample_size,index_type,factor,S1,S1_conf,ST,ST_conf,S2,S2_conf,skip_reason
valid_flag,128,main,q_basal_target_mW_m2,nan,nan,nan,nan,,,
valid_flag,128,main,d_grain_mm,nan,nan,nan,nan,,,
valid_flag,128,main,epsilon_0,nan,nan,nan,nan,,,
valid_flag,128,main,T_surf_K,nan,nan,nan,nan,,,
valid_flag,128,main,D_H2O_km,nan,nan,nan,nan,,,
valid_flag,128,main,mu_ice_GPa,nan,nan,nan,nan,,,
valid_flag,128,main,Q_v_kJ_mol,nan,nan,nan,nan,,,
valid_flag,128,main,Q_b_kJ_mol,nan,nan,nan,nan,,,
valid_flag,128,main,H_rad_pW_kg,nan,nan,nan,nan,,,
valid_flag,128,main,f_porosity,nan,nan,nan,nan,,,
physical_flag,128,main,q_basal_target_mW_m2,nan,nan,nan,nan,,,
physical_flag,128,main,d_grain_mm,nan,nan,nan,nan,,,
physical_flag,128,main,epsilon_0,nan,nan,nan,nan,,,
physical_flag,128,main,T_surf_K,nan,nan,nan,nan,,,
physical_flag,128,main,D_H2O_km,nan,nan,nan,nan,,,
physical_flag,128,main,mu_ice_GPa,nan,nan,nan,nan,,,
physical_flag,128,main,Q_v_kJ_mol,nan,nan,nan,nan,,,
physical_flag,128,main,Q_b_kJ_mol,nan,nan,nan,nan,,,
physical_flag,128,main,H_rad_pW_kg,nan,nan,nan,nan,,,
physical_flag,128,main,f_porosity,nan,nan,nan,nan,,,
convective_flag,128,main,q_basal_target_mW_m2,0.4291426224902202,0.20381237223058601,0.7801335667509564,0.17286840181938423,,,
convective_flag,128,main,d_grain_mm,0.13520931941472691,0.16590127297020807,0.48135900927186676,0.15205697822289738,,,
convective_flag,128,main,epsilon_0,0.020402429272298947,0.04102728003350539,0.016598586526616093,0.033378126128953536,,,
convective_flag,128,main,T_surf_K,0.012794743780933237,0.02468735717043069,0.016598586526616093,0.03202684173461279,,,
convective_flag,128,main,D_H2O_km,0.020402429272298947,0.04091886550345811,0.016598586526616093,0.03328992447738965,,,
convective_flag,128,main,mu_ice_GPa,0.0,0.0,0.0,0.0,,,
