output,sample_size,index_type,factor,S1,S1_conf,ST,ST_conf,S2,S2_conf,skip_reason
valid_flag,128,main,q_basal_target_mW_m2,nan,nan,nan,nan,,,
valid_flag,128,main,d_grain_mm,nan,nan,nan,nan,,,
valid_flag,128,main,epsilon_0,nan,nan,nan,nan,,,
valid_flag,128,main,T_surf_K,nan,nan,nan,nan,,,
valid_flag,128,main,D_H2O_km,nan,nan,nan,nan,,,
valid_flag,128,main,mu_ice_GPa,nan,nan,nan,nan,,,
valid_flag,128,main,Q_v_kJ_mol,nan,nan,nan,nan,,,
valid_flag,128,main,Q_b_kJ_mol,nan,nan,nan,nan,,,
valid_flag,128,main,H_rad_pW_kg,nan,nan,nan,nan,,,
valid_flag,128,main,f_porosity,nan,nan,nan,nan,,,
physical_flag,128,main,q_basal_target_mW_m2,nan,nan,nan,nan,,,
physical_flag,128,main,d_grain_mm,nan,nan,nan,nan,,,
physical_flag,128,main,epsilon_0,nan,nan,nan,nan,,,
physical_flag,128,main,T_surf_K,nan,nan,nan,nan,,,
physical_flag,128,main,D_H2O_km,nan,nan,nan,nan,,,
physical_flag,128,main,mu_ice_GPa,nan,nan,nan,nan,,,
physical_flag,128,main,Q_v_kJ_mol,nan,nan,nan,nan,,,
physical_flag,128,main,Q_b_kJ_mol,nan,nan,nan,nan,,,
physical_flag,128,main,H_rad_pW_kg,nan,nan,nan,nan,,,
physical_flag,128,main,f_porosity,nan,nan,nan,nan,,,
convective_flag,128,main,q_basal_target_mW_m2,0.4553396871945259,0.19426886564464227,0.735092864125122,0.1674862153646796,,,
convective_flag,128,main,d_grain_mm,0.18886445096122517,0.146770442024449,0.375366568914956,0.1357912384398142,,,
convective_flag,128,main,epsilon_0,0.015049690452916258,0.054186681200028786,0.0469208211143695,0.05145505363449438,,,
convective_flag,128,main,T_surf_K,0.0,0.04660084076725993,0.03128054740957967,0.04385084233357634,,,
convective_flag,128,main,D_H2O_km,-0.01623085695666341,0.032476595286000935,0.015640273704789834,0.031294887301943186,,,
convective_flag,128,main,mu_ice_GPa,0.0,0.0,0.0,0.0,,,
