output,sample_size,index_type,factor,S1,S1_conf,ST,ST_conf,S2,S2_conf,skip_reason
valid_flag,128,main,basal_flux,nan,nan,nan,nan,,,
valid_flag,128,main,shell_rheology,nan,nan,nan,nan,,,
valid_flag,128,main,shell_tides,nan,nan,nan,nan,,,
valid_flag,128,main,surface_boundary,nan,nan,nan,nan,,,
valid_flag,128,main,porosity,nan,nan,nan,nan,,,
valid_flag,256,main,basal_flux,nan,nan,nan,nan,,,
valid_flag,256,main,shell_rheology,nan,nan,nan,nan,,,
valid_flag,256,main,shell_tides,nan,nan,nan,nan,,,
valid_flag,256,main,surface_boundary,nan,nan,nan,nan,,,
valid_flag,256,main,porosity,nan,nan,nan,nan,,,
valid_flag,512,main,basal_flux,nan,nan,nan,nan,,,
valid_flag,512,main,shell_rheology,nan,nan,nan,nan,,,
valid_flag,512,main,shell_tides,nan,nan,nan,nan,,,
valid_flag,512,main,surface_boundary,nan,nan,nan,nan,,,
valid_flag,512,main,porosity,nan,nan,nan,nan,,,
physical_flag,128,main,basal_flux,nan,nan,nan,nan,,,
physical_flag,128,main,shell_rheology,nan,nan,nan,nan,,,
physical_flag,128,main,shell_tides,nan,nan,nan,nan,,,
physical_flag,128,main,surface_boundary,nan,nan,nan,nan,,,
physical_flag,128,main,porosity,nan,nan,nan,nan,,,
physical_flag,256,main,basal_flux,nan,nan,nan,nan,,,
physical_flag,256,main,shell_rheology,nan,nan,nan,nan,,,
physical_flag,256,main,shell_tides,nan,nan,nan,nan,,,
physical_flag,256,main,surface_boundary,nan,nan,nan,nan,,,
physical_flag,256,main,porosity,nan,nan,nan,nan,,,
physical_flag,512,main,basal_flux,nan,nan,nan,nan,,,
physical_flag,512,main,shell_rheology,nan,nan,nan,nan,,,
physical_flag,512,main,shell_tides,nan,nan,nan,nan,,,
physical_flag,512,main,surface_boundary,nan,nan,nan,nan,,,
physical_flag,512,main,porosity,nan,nan,nan,nan,,,
convective_flag,128,main,basal_flux,0.2932796988596523,0.19017160857538745,0.6447946267114439,0.1672974198727889,,,
convective_flag,128,main,shell_rheology,0.47529246780086354,0.19548021370542273,0.743993800051666,0.17188270472720224,,,
convective_flag,128,main,shell_tides,0.02070339890024726,0.12132801664924152,0.21493154223714797,0.10927465716661963,,,
convective_flag,128,main,surface_boundary,-0.012362992213160128,0.024178956482646223,0.016533195556703687,0.03233484329619554,,,
convective_flag,128,main,porosity,-0.012362992213160128,0.024178956482646223,0.016533195556703687,0.03233484329619554,,,
convective_flag,256,main,basal_flux,0.3105857339295825,0.13263367373443172,0.6791878993771738,0.12313319776179704,,,
convective_flag,256,main,shell_rheology,0.4307045215562566,0.13385359404507005,0.6626223408557794,0.11934850782672421,,,
convective_flag,256,main,shell_tides,0.04969667556418345,0.08628826718211373,0.2153522607781283,0.07829499532531231,,,
convective_flag,256,main,surface_boundary,-0.0062028402722409046,0.011929218008751774,0.008282779260697242,0.015929328369361534,,,
convective_flag,256,main,porosity,0.004159877976912676,0.02356699279674785,0.016565558521394484,0.02249214344664087,,,
convective_flag,512,main,basal_flux,0.27511186943773447,0.09639637120541117,0.6787750232003184,0.08479377277290628,,,
convective_flag,512,main,shell_rheology,0.34601732175641764,0.09251833280858549,0.6417509310257554,0.08350143002726486,,,
convective_flag,512,main,shell_tides,0.03096819217726019,0.05359907717422357,0.1810066728534182,0.05001633587248519,,,
convective_flag,512,main,surface_boundary,-0.0012006200525357354,0.013255151072879943,0.012341364058187605,0.014311458102746947,,,
