output,sample_size,index_type,factor,S1,S1_conf,ST,ST_conf,S2,S2_conf,skip_reason
valid_flag,128,main,q_basal_target_mW_m2,nan,nan,nan,nan,,,
valid_flag,128,main,d_grain_mm,nan,nan,nan,nan,,,
valid_flag,128,main,epsilon_0,nan,nan,nan,nan,,,
valid_flag,128,main,T_surf_K,nan,nan,nan,nan,,,
valid_flag,128,main,D_H2O_km,nan,nan,nan,nan,,,
valid_flag,128,main,mu_ice_GPa,nan,nan,nan,nan,,,
valid_flag,128,main,Q_v_kJ_mol,nan,nan,nan,nan,,,
valid_flag,128,main,Q_b_kJ_mol,nan,nan,nan,nan,,,
valid_flag,128,main,H_rad_pW_kg,nan,nan,nan,nan,,,
valid_flag,128,main,f_porosity,nan,nan,nan,nan,,,
valid_flag,256,main,q_basal_target_mW_m2,nan,nan,nan,nan,,,
valid_flag,256,main,d_grain_mm,nan,nan,nan,nan,,,
valid_flag,256,main,epsilon_0,nan,nan,nan,nan,,,
valid_flag,256,main,T_surf_K,nan,nan,nan,nan,,,
valid_flag,256,main,D_H2O_km,nan,nan,nan,nan,,,
valid_flag,256,main,mu_ice_GPa,nan,nan,nan,nan,,,
valid_flag,256,main,Q_v_kJ_mol,nan,nan,nan,nan,,,
valid_flag,256,main,Q_b_kJ_mol,nan,nan,nan,nan,,,
valid_flag,256,main,H_rad_pW_kg,nan,nan,nan,nan,,,
valid_flag,256,main,f_porosity,nan,nan,nan,nan,,,
valid_flag,512,main,q_basal_target_mW_m2,nan,nan,nan,nan,,,
valid_flag,512,main,d_grain_mm,nan,nan,nan,nan,,,
valid_flag,512,main,epsilon_0,nan,nan,nan,nan,,,
valid_flag,512,main,T_surf_K,nan,nan,nan,nan,,,
valid_flag,512,main,D_H2O_km,nan,nan,nan,nan,,,
valid_flag,512,main,mu_ice_GPa,nan,nan,nan,nan,,,
valid_flag,512,main,Q_v_kJ_mol,nan,nan,nan,nan,,,
valid_flag,512,main,Q_b_kJ_mol,nan,nan,nan,nan,,,
valid_flag,512,main,H_rad_pW_kg,nan,nan,nan,nan,,,
valid_flag,512,main,f_porosity,nan,nan,nan,nan,,,
